id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
1,Male,disloyal Customer,46,Business travel,Eco,3506,3,5,3,5,3,4,3,5,5,3,0,3,3,5,44,64.0,neutral or dissatisfied
2,Female,Loyal Customer,42,Personal Travel,Business,3320,2,2,2,2,3,3,2,3,2,4,4,3,4,3,10,15.0,neutral or dissatisfied
3,Female,disloyal Customer,12,Business travel,Business,4573,5,2,3,2,3,3,4,3,1,2,4,3,4,5,15,2.0,neutral or dissatisfied
4,Male,Loyal Customer,16,Business travel,Eco Plus,1860,5,2,3,3,0,2,2,3,3,3,3,3,5,3,3,5.0,satisfied
5,Male,Loyal Customer,53,Personal Travel,Business,3782,1,4,4,2,4,2,5,3,3,3,4,3,3,2,11,13.0,satisfied
6,Female,disloyal Customer,51,Personal Travel,Business,1174,3,2,2,3,4,3,3,4,4,4,4,2,4,2,48,76.0,neutral or dissatisfied
7,Male,Loyal Customer,50,Business travel,Business,4688,4,2,3,2,5,3,4,5,2,3,2,5,4,2,6,8.0,satisfied
8,Female,Loyal Customer,19,Personal Travel,Eco,463,3,2,5,4,3,3,3,0,4,0,2,2,5,4,0,16.0,neutral or dissatisfied
9,Male,Loyal Customer,46,Personal Travel,Eco,3763,5,5,5,3,2,4,5,3,4,2,4,5,4,2,9,6.0,neutral or dissatisfied
10,Male,Loyal Customer,11,Business travel,Business,553,4,3,2,4,4,5,5,5,4,1,4,2,3,2,5,0.0,satisfied
11,Female,Loyal Customer,18,Personal Travel,Eco Plus,4406,3,4,5,0,4,3,3,4,4,5,3,3,3,4,3,0.0,satisfied
12,Female,Loyal Customer,45,Personal Travel,Business,4799,5,2,2,1,4,5,4,4,3,5,1,3,4,1,17,24.0,neutral or dissatisfied
13,Female,Loyal Customer,55,Business travel,Eco,4098,4,4,3,4,2,4,5,1,3,1,4,2,5,2,7,0.0,neutral or dissatisfied
14,Female,Loyal Customer,58,Business travel,Business,3952,3,1,3,2,3,4,4,4,4,2,3,2,3,3,0,0.0,neutral or dissatisfied
15,Female,Loyal Customer,83,Business travel,Business,2416,2,2,3,1,2,4,2,4,3,1,3,3,2,4,2,6.0,neutral or dissatisfied
16,Female,Loyal Customer,73,Business travel,Business,1262,4,2,4,3,3,4,3,3,2,3,0,4,5,3,1,0.0,neutral or dissatisfied
17,Female,Loyal Customer,36,Personal Travel,Eco Plus,4929,2,3,3,3,3,2,2,2,3,2,4,3,2,4,10,11.0,neutral or dissatisfied
18,Male,Loyal Customer,68,Personal Travel,Eco,2669,3,2,4,3,5,4,3,4,3,3,3,5,4,2,4,0.0,satisfied
19,Female,Loyal Customer,14,Business travel,Eco,4091,3,5,3,4,4,3,2,2,3,1,3,4,4,5,1,0.0,neutral or dissatisfied
20,Male,Loyal Customer,73,Business travel,Business,3585,3,4,3,3,1,4,4,2,3,3,2,2,4,4,1,11.0,satisfied
21,Female,Loyal Customer,37,Business travel,Business,3520,3,2,3,3,3,3,1,4,3,1,3,0,2,2,22,31.0,satisfied
22,Male,Loyal Customer,66,Business travel,Business,1795,2,4,1,4,3,4,2,4,3,5,4,1,5,3,9,8.0,neutral or dissatisfied
23,Male,Loyal Customer,82,Personal Travel,Business,2162,4,3,4,3,2,4,2,2,4,5,3,3,3,1,17,17.0,neutral or dissatisfied
24,Female,Loyal Customer,61,Business travel,Business,2227,3,2,3,3,2,2,3,2,4,5,4,1,3,4,7,0.0,neutral or dissatisfied
25,Female,Loyal Customer,78,Business travel,Eco,3032,5,4,2,4,4,5,2,2,1,4,2,3,2,2,15,13.0,neutral or dissatisfied
26,Female,Loyal Customer,7,Business travel,Eco,3605,3,0,3,4,2,4,2,3,2,5,2,3,1,3,15,34.0,neutral or dissatisfied
27,Male,Loyal Customer,20,Business travel,Eco,1034,4,4,3,2,4,3,4,2,1,4,4,3,4,3,24,38.0,neutral or dissatisfied
28,Female,Loyal Customer,55,Personal Travel,Business,1175,4,2,3,3,2,2,4,5,3,2,3,3,2,2,15,17.0,satisfied
29,Female,Loyal Customer,49,Personal Travel,Business,289,4,2,5,3,2,4,0,3,3,3,5,5,3,2,2,0.0,neutral or dissatisfied
30,Male,Loyal Customer,16,Business travel,Eco,2655,4,5,5,2,4,2,3,4,3,3,4,3,3,4,10,,satisfied
31,Male,Loyal Customer,63,Business travel,Business,3360,3,2,0,2,4,4,5,2,4,4,2,3,4,3,18,16.0,neutral or dissatisfied
32,Male,Loyal Customer,11,Business travel,Eco,1089,4,4,4,1,3,4,4,4,3,3,1,2,4,4,19,16.0,neutral or dissatisfied
33,Male,Loyal Customer,84,Business travel,Eco,3573,5,3,4,0,3,2,4,4,3,4,4,3,4,4,0,0.0,neutral or dissatisfied
34,Female,Loyal Customer,19,Business travel,Business,65,3,3,3,3,3,2,4,1,3,3,3,2,4,2,20,35.0,neutral or dissatisfied
35,Female,Loyal Customer,41,Business travel,Business,4339,4,3,4,3,2,3,2,2,3,3,4,5,2,3,6,7.0,neutral or dissatisfied
36,Male,Loyal Customer,71,Personal Travel,Eco,3466,3,3,5,2,1,2,3,3,2,1,3,4,2,3,18,25.0,satisfied
37,Female,disloyal Customer,47,Business travel,Eco,3432,4,5,1,5,4,3,4,3,4,3,3,5,3,3,34,37.0,neutral or dissatisfied
38,Female,Loyal Customer,65,Business travel,Eco,3550,3,4,3,2,5,4,3,4,4,2,3,3,4,5,22,25.0,neutral or dissatisfied
39,Male,Loyal Customer,61,Business travel,Eco,1825,1,2,5,4,4,4,3,3,5,2,3,4,3,3,17,22.0,satisfied
40,Female,Loyal Customer,81,Personal Travel,Eco,4978,3,2,2,3,3,2,3,4,2,2,4,2,1,1,34,31.0,neutral or dissatisfied
